mark_id,student_id,subject_code,subject_name,marks_obtained,grade
123,SI25,HI,History,57,D
124,SI25,MA,Maths,87,A
125,SI25,SC,Science,63,C
126,SE01,EN,English,53,D
127,SE01,CO,Computer,72,B
128,SE01,HI,History,38,F
129,SE01,MA,Maths,86,A
130,SE01,SC,Science,99,A
131,SE02,EN,English,55,D
132,SE02,CO,Computer,46,E
133,SE02,HI,History,32,F
134,SE02,MA,Maths,52,D
135,SE02,SC,Science,95,A
136,SE03,EN,English,84,A
137,SE03,CO,Computer,36,F
138,SE03,HI,History,82,A
139,SE03,MA,Maths,41,E
140,SE03,SC,Science,67,C
141,SE04,EN,English,70,B
142,SE04,CO,Computer,55,D
143,SE04,HI,History,59,D
144,SE04,MA,Maths,72,B
145,SE04,SC,Science,67,C
146,SE05,EN,English,96,A
147,SE05,CO,Computer,82,A
148,SE05,HI,History,32,F
149,SE05,MA,Maths,50,D
150,SE05,SC,Science,67,C
151,SE06,EN,English,51,D
152,SE06,CO,Computer,99,A
153,SE06,HI,History,45,E
154,SE06,MA,Maths,96,A
155,SE06,SC,Science,93,A
156,SE07,EN,English,95,A
157,SE07,CO,Computer,96,A
158,SE07,HI,History,44,E
159,SE07,MA,Maths,91,A
160,SE07,SC,Science,49,E
161,SE08,EN,English,37,F
162,SE08,CO,Computer,76,B
163,SE08,HI,History,57,D
164,SE08,MA,Maths,63,C
165,SE08,SC,Science,60,C
166,SE09,EN,English,96,A
167,SE09,CO,Computer,78,B
168,SE09,HI,History,73,B
169,SE09,MA,Maths,84,A
170,SE09,SC,Science,44,E
171,SE10,EN,English,49,E
172,SE10,CO,Computer,63,C
173,SE10,HI,History,49,E
174,SE10,MA,Maths,78,B
175,SE10,SC,Science,87,A
176,SE11,EN,English,88,A
177,SE11,CO,Computer,90,A
178,SE11,HI,History,85,A
179,SE11,MA,Maths,40,E
180,SE11,SC,Science,74,B
181,SE12,EN,English,61,C
182,SE12,CO,Computer,77,B
183,SE12,HI,History,78,B
184,SE12,MA,Maths,65,C
185,SE12,SC,Science,76,B
186,SE13,EN,English,93,A
187,SE13,CO,Computer,36,F
188,SE13,HI,History,52,D
189,SE13,MA,Maths,86,A
190,SE13,SC,Science,70,A
191,SE14,EN,English,93,A
192,SE14,CO,Computer,43,E
193,SE14,HI,History,73,B
194,SE14,MA,Maths,82,A
195,SE14,SC,Science,61,C
196,SE15,EN,English,65,C
197,SE15,CO,Computer,73,B
198,SE15,HI,History,94,A
199,SE15,MA,Maths,42,E
200,SE15,SC,Science,48,E
201,SE16,EN,English,85,A
202,SE16,CO,Computer,56,D
203,SE16,HI,History,74,B
204,SE16,MA,Maths,46,E
205,SE16,SC,Science,60,C
206,SE17,EN,English,79,B
207,SE17,CO,Computer,31,F
208,SE17,HI,History,42,E
209,SE17,MA,Maths,53,D
210,SE17,SC,Science,75,B
211,SE18,EN,English,39,F
212,SE18,CO,Computer,31,F
213,SE18,HI,History,31,F
214,SE18,MA,Maths,60,C
215,SE18,SC,Science,91,A
216,SE19,EN,English,78,B
217,SE19,CO,Computer,31,F
218,SE19,HI,History,61,C
219,SE19,MA,Maths,36,F
220,SE19,SC,Science,85,A
221,SE20,EN,English,58,D
222,SE20,CO,Computer,81,A
223,SE20,HI,History,70,B
224,SE20,MA,Maths,91,A
225,SE20,SC,Science,75,B
226,SE21,EN,English,31,F
227,SE21,CO,Computer,77,B
228,SE21,HI,History,85,A
229,SE21,MA,Maths,33,F
230,SE21,SC,Science,72,B
231,SE22,EN,English,51,D
232,SE22,CO,Computer,83,A
233,SE22,HI,History,36,F
234,SE22,MA,Maths,60,C
235,SE22,SC,Science,30,F
236,SE23,EN,English,65,C
237,SE23,CO,Computer,74,B
238,SE23,HI,History,67,C
239,SE23,MA,Maths,77,B
240,SE23,SC,Science,30,F
241,SE24,EN,English,81,A
242,SE24,CO,Computer,47,E
243,SE24,HI,History,31,F
244,SE24,MA,Maths,45,E
245,SE24,SC,Science,98,A
246,SE25,EN,English,80,A
247,SE25,CO,Computer,82,A
248,SE25,HI,History,67,C
249,SE25,MA,Maths,67,C
250,SE25,SC,Science,47,E
251,EI01,EN,English,56,D
252,EI01,CO,Computer,62,C
253,EI01,HI,History,92,A
254,EI01,MA,Maths,92,A
255,EI01,SC,Science,87,A
256,EI02,EN,English,70,B
257,EI02,CO,Computer,46,E
258,EI02,HI,History,58,D
259,EI02,MA,Maths,63,C
260,EI02,SC,Science,42,E
261,EI03,EN,English,73,B
262,EI03,CO,Computer,30,F
263,EI03,HI,History,95,A
264,EI03,MA,Maths,92,A
265,EI03,SC,Science,51,D
266,EI04,EN,English,68,C
267,EI04,CO,Computer,53,D
268,EI04,HI,History,50,D
269,EI04,MA,Maths,97,A
270,EI04,SC,Science,49,E
271,EI05,EN,English,92,A
272,EI05,CO,Computer,61,C
273,EI05,HI,History,47,E
274,EI05,MA,Maths,36,F
275,EI05,SC,Science,84,A
276,EI06,EN,English,66,C
277,EI06,CO,Computer,96,A
278,EI06,HI,History,40,E
279,EI06,MA,Maths,46,E
280,EI06,SC,Science,41,E
281,EI07,EN,English,73,B
282,EI07,CO,Computer,65,C
283,EI07,HI,History,35,F
284,EI07,MA,Maths,80,A
285,EI07,SC,Science,77,B
286,EI08,EN,English,38,F
287,EI08,CO,Computer,93,A
288,EI08,HI,History,92,A
289,EI08,MA,Maths,73,B
290,EI08,SC,Science,42,E
291,EI09,EN,English,53,D
292,EI09,CO,Computer,72,B
293,EI09,HI,History,53,D
294,EI09,MA,Maths,61,C
295,EI09,SC,Science,64,C
296,EI10,EN,English,90,A
297,EI10,CO,Computer,62,C
298,EI10,HI,History,42,E
299,EI10,MA,Maths,100,A
300,EI10,SC,Science,81,A
301,EI11,EN,English,83,A
302,EI11,CO,Computer,97,A
303,EI11,HI,History,33,F
304,EI11,MA,Maths,70,B
305,EI11,SC,Science,64,C
306,EI12,EN,English,73,B
307,EI12,CO,Computer,47,E
308,EI12,HI,History,42,E
309,EI12,MA,Maths,60,C
310,EI12,SC,Science,92,A
311,EI13,EN,English,88,A
312,EI13,CO,Computer,96,A
313,EI13,HI,History,96,A
314,EI13,MA,Maths,33,F
315,EI13,SC,Science,43,E
316,EI14,EN,English,59,D
317,EI14,CO,Computer,77,B
318,EI14,HI,History,86,A
319,EI14,MA,Maths,47,E
320,EI14,SC,Science,58,D
321,EI15,EN,English,35,F
322,EI15,CO,Computer,51,D
323,EI15,HI,History,35,F
324,EI15,MA,Maths,47,E
325,EI15,SC,Science,41,E
326,EI16,EN,English,78,B
327,EI16,CO,Computer,42,E
328,EI16,HI,History,41,E
329,EI16,MA,Maths,56,D
330,EI16,SC,Science,38,F
331,EI17,EN,English,77,B
332,EI17,CO,Computer,32,F
333,EI17,HI,History,96,A
334,EI17,MA,Maths,74,B
335,EI17,SC,Science,63,C
336,EI18,EN,English,49,E
337,EI18,CO,Computer,69,C
338,EI18,HI,History,94,A
339,EI18,MA,Maths,91,A
340,EI18,SC,Science,90,A
341,EI19,EN,English,43,E
342,EI19,CO,Computer,38,F
343,EI19,HI,History,57,D
344,EI19,MA,Maths,67,C
345,EI19,SC,Science,81,A
346,EI20,EN,English,67,C
347,EI20,CO,Computer,93,A
348,EI20,HI,History,96,A
349,EI20,MA,Maths,84,A
350,EI20,SC,Science,94,A
351,EI21,EN,English,34,F
352,EI21,CO,Computer,85,A
353,EI21,HI,History,36,F
354,EI21,MA,Maths,81,A
355,EI21,SC,Science,52,D
356,EI22,EN,English,77,B
357,EI22,CO,Computer,65,C
358,EI22,HI,History,68,C
359,EI22,MA,Maths,83,A
360,EI22,SC,Science,41,E
361,EI23,EN,English,50,D
362,EI23,CO,Computer,47,E
363,EI23,HI,History,88,A
364,EI23,MA,Maths,81,A
365,EI23,SC,Science,57,D
366,EI24,EN,English,53,D
367,EI24,CO,Computer,53,D
368,EI24,HI,History,80,A
369,EI24,MA,Maths,84,A
370,EI24,SC,Science,87,A
371,EI25,EN,English,77,B
372,EI25,CO,Computer,72,B
373,EI25,HI,History,66,C
374,EI25,MA,Maths,34,F
375,EI25,SC,Science,37,F
